sample_id,language,speaker_num,sex,age,birth_place,native_language,other_languages,age_of_english_onset,english_learning_method,english_residence,length_english_residence_years,has_ipa,page_url,audio_url,tier,selection_note
bengali19,bengali,19,female,25.0,"hyderabad, telangana, india",bengali,hindi telugu,3.0,academic,usa,0.5,False,https://accent.gmu.edu/samples/bengali19/,https://accent.gmu.edu/audio/bengali19.mp3,primary,residence 0.5y
bengali16,bengali,16,female,24.0,"dhaka, bangladesh",bengali,none,6.0,academic,usa,1.0,False,https://accent.gmu.edu/samples/bengali16/,https://accent.gmu.edu/audio/bengali16.mp3,primary,residence 1y
bengali12,bengali,12,female,25.0,"sylhet, bangladesh",bengali,urdu hindi,4.0,academic,usa,3.0,False,https://accent.gmu.edu/samples/bengali12/,https://accent.gmu.edu/audio/bengali12.mp3,primary,residence 3y
bengali9,bengali,9,female,61.0,"kolkata, india",bengali,hindi,12.0,academic,usa,0.5,True,https://accent.gmu.edu/samples/bengali9/,https://accent.gmu.edu/audio/bengali9.mp3,primary,residence 0.5y
bengali18,bengali,18,female,20.0,"dhaka, bangladesh",bengali,urdu,17.0,academic,usa,5.0,False,https://accent.gmu.edu/samples/bengali18/,https://accent.gmu.edu/audio/bengali18.mp3,relaxed_residence,residence 5y (over 5y threshold)
bengali3,bengali,3,female,19.0,"dhaka, bangladesh",bengali,urdu hindi-urdu spanish,5.0,academic,usa,6.0,True,https://accent.gmu.edu/samples/bengali3/,https://accent.gmu.edu/audio/bengali3.mp3,relaxed_residence,residence 6y (over 5y threshold)
bengali10,bengali,10,female,18.0,"dhaka, bangladesh",bengali,none,3.0,academic,usa,6.0,True,https://accent.gmu.edu/samples/bengali10/,https://accent.gmu.edu/audio/bengali10.mp3,relaxed_residence,residence 6y (over 5y threshold)
bengali13,bengali,13,female,33.0,"dhaka, bangladesh",bengali,hindi urdu arabic,10.0,academic,usa,7.0,False,https://accent.gmu.edu/samples/bengali13/,https://accent.gmu.edu/audio/bengali13.mp3,relaxed_residence,residence 7y (over 5y threshold)
bengali17,bengali,17,female,19.0,"sylhet, bangladesh",bengali,hindi urdu,6.0,academic,usa,13.0,False,https://accent.gmu.edu/samples/bengali17/,https://accent.gmu.edu/audio/bengali17.mp3,relaxed_residence,residence 13y (over 5y threshold)
bengali15,bengali,15,female,46.0,"dhaka, bangladesh",bengali,hindi urdu,8.0,academic,usa,14.0,False,https://accent.gmu.edu/samples/bengali15/,https://accent.gmu.edu/audio/bengali15.mp3,relaxed_residence,residence 14y (over 5y threshold)
bengali5,bengali,5,female,40.0,"dhaka, bangladesh",bengali,urdu hindi,5.0,academic,usa,15.0,True,https://accent.gmu.edu/samples/bengali5/,https://accent.gmu.edu/audio/bengali5.mp3,relaxed_residence,residence 15y (over 5y threshold)
bengali2,bengali,2,female,25.0,"lusaka, zambia",bengali,french,2.0,naturalistic,usa,21.0,True,https://accent.gmu.edu/samples/bengali2/,https://accent.gmu.edu/audio/bengali2.mp3,relaxed_residence,residence 21y (over 5y threshold)
bengali23,bengali,23,female,22.0,"warrenton, virginia, usa",bengali,none,5.0,naturalistic,usa,22.0,False,https://accent.gmu.edu/samples/bengali23/,https://accent.gmu.edu/audio/bengali23.mp3,relaxed_residence,residence 22y (over 5y threshold)
